Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,2,Graduate,No,4951,5131,548,180,1.0,Semiurban,Y
Female,Yes,1,Not Graduate,No,19622,3197,557,180,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,6727,139,353,360,0.0,Rural,Y
Male,No,0,Graduate,Yes,7686,1424,550,120,1.0,Semiurban,Y
Male,No,1,Not Graduate,No,5701,2949,647,120,0.0,Semiurban,N
Male,Yes,3+,Graduate,No,4780,3168,215,480,1.0,Urban,Y
Male,Yes,3+,Graduate,No,19972,8708,464,360,1.0,Urban,Y
Male,Yes,3+,Graduate,No,4368,6043,511,240,0.0,Semiurban,N
Male,Yes,3+,Not Graduate,No,17592,6989,163,240,1.0,Urban,Y
Male,Yes,1,Graduate,No,2436,7236,482,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,4828,6261,405,240,1.0,Urban,Y
Female,No,2,Graduate,No,3556,887,256,120,0.0,Urban,N
Male,No,3+,Graduate,No,15364,3104,284,240,1.0,Urban,Y
Female,Yes,0,Graduate,No,17061,49,491,240,1.0,Urban,Y
Male,Yes,3+,Graduate,No,12576,3951,404,360,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,No,18566,3560,564,360,1.0,Rural,Y
Male,No,0,Graduate,Yes,9190,18,257,240,1.0,Urban,Y
Male,Yes,1,Graduate,No,7565,4821,174,180,0.0,Semiurban,Y
Female,Yes,1,Not Graduate,No,17369,6340,187,360,1.0,Semiurban,Y
Male,No,0,Not Graduate,No,3589,8058,388,480,1.0,Urban,Y
Female,Yes,1,Graduate,No,2159,9665,586,480,1.0,Rural,Y
Male,No,1,Graduate,Yes,14145,2606,117,120,1.0,Urban,Y
Male,Yes,3+,Graduate,No,17373,7846,622,240,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,8555,8643,590,180,1.0,Rural,Y
Female,Yes,1,Not Graduate,No,18237,6432,432,120,1.0,Semiurban,Y
Female,No,1,Graduate,No,11203,3765,68,240,1.0,Urban,Y
Male,No,1,Not Graduate,No,10244,2438,499,360,1.0,Rural,Y
Male,No,3+,Graduate,No,16743,9741,123,480,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,15333,6358,622,180,1.0,Semiurban,Y
Male,No,0,Graduate,No,15341,8319,325,480,1.0,Semiurban,Y
Female,Yes,3+,Not Graduate,No,3228,5941,97,360,1.0,Urban,Y
Female,Yes,3+,Graduate,No,7590,7644,260,240,1.0,Rural,Y
Male,No,2,Not Graduate,No,7585,4855,671,360,1.0,Urban,Y
Male,Yes,2,Not Graduate,No,11227,6547,589,360,1.0,Urban,Y
Male,Yes,3+,Not Graduate,No,8046,7196,240,480,1.0,Urban,Y
Male,Yes,0,Graduate,No,14237,5911,364,180,0.0,Rural,Y
Female,Yes,3+,Graduate,No,17649,6481,612,360,0.0,Urban,N
Male,Yes,2,Graduate,No,6945,2761,611,480,1.0,Urban,Y
Female,Yes,0,Graduate,No,9927,4456,162,180,1.0,Urban,Y
Male,Yes,2,Graduate,Yes,14641,9607,219,240,1.0,Urban,Y
Female,No,0,Not Graduate,No,17998,6361,517,240,1.0,Semiurban,Y
Male,No,1,Graduate,Yes,15386,5693,63,120,1.0,Urban,Y
Male,Yes,2,Graduate,No,9016,5788,337,480,0.0,Semiurban,Y
Female,Yes,2,Graduate,No,16027,201,238,180,1.0,Urban,Y
Male,Yes,3+,Graduate,No,17920,6160,204,360,0.0,Rural,Y
Male,Yes,2,Graduate,No,15752,517,616,240,0.0,Semiurban,N
Female,Yes,2,Graduate,No,5167,7737,520,180,1.0,Semiurban,Y
Female,Yes,1,Not Graduate,No,13989,9533,124,480,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,16087,1988,326,120,0.0,Semiurban,Y
Male,Yes,1,Not Graduate,No,4437,3802,694,240,1.0,Rural,Y
Male,Yes,1,Not Graduate,No,17275,5808,392,180,1.0,Urban,Y
Male,Yes,1,Graduate,No,7276,7162,474,180,1.0,Semiurban,Y
Male,No,1,Not Graduate,Yes,10859,6241,620,180,1.0,Rural,Y
Male,No,0,Graduate,No,9818,8399,560,480,1.0,Semiurban,Y
Male,Yes,3+,Not Graduate,No,6728,5633,231,480,0.0,Urban,Y
Male,No,0,Graduate,No,7738,5755,507,480,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,7793,6309,113,360,0.0,Rural,Y
Male,No,0,Not Graduate,No,6523,4117,309,180,0.0,Urban,Y
Male,No,0,Not Graduate,No,7571,8345,242,240,1.0,Rural,Y
Male,Yes,2,Not Graduate,No,18209,1518,665,480,1.0,Urban,Y
Male,Yes,2,Graduate,No,17246,6163,455,480,1.0,Urban,Y
Male,Yes,2,Graduate,No,12380,2600,142,180,1.0,Urban,Y
Female,Yes,0,Graduate,No,4224,2195,479,480,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,10389,3554,483,360,0.0,Rural,N
Male,Yes,2,Graduate,No,17927,2849,453,360,0.0,Rural,N
Male,Yes,3+,Graduate,No,13684,1742,483,480,0.0,Rural,N
Male,No,3+,Not Graduate,No,12640,1306,161,180,0.0,Urban,Y
Male,No,1,Graduate,Yes,10662,3849,424,180,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,8361,7519,108,180,1.0,Urban,Y
Male,Yes,1,Graduate,No,3948,4195,92,120,0.0,Rural,N
Male,Yes,3+,Not Graduate,No,14091,5178,256,480,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,No,13992,2555,345,180,1.0,Semiurban,Y
Female,No,2,Graduate,No,8318,2305,167,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,14180,7619,581,240,0.0,Rural,N
Male,Yes,2,Not Graduate,No,2234,9280,271,240,0.0,Semiurban,N
Male,Yes,0,Graduate,No,17372,2642,215,180,0.0,Semiurban,Y
Female,Yes,1,Graduate,No,2522,9369,692,240,0.0,Urban,N
Male,No,3+,Graduate,No,14718,6409,205,240,1.0,Urban,Y
Male,No,3+,Graduate,No,11821,4757,233,120,1.0,Semiurban,Y
Female,Yes,3+,Graduate,Yes,7832,2994,139,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,14820,8751,143,360,1.0,Urban,Y
Female,Yes,0,Graduate,No,18211,1271,62,120,1.0,Urban,Y
Male,No,2,Graduate,No,9122,1813,487,120,1.0,Urban,Y
Male,No,3+,Not Graduate,No,7842,8801,587,240,0.0,Rural,N
Male,Yes,0,Graduate,No,3316,2461,636,480,1.0,Rural,Y
Male,Yes,2,Not Graduate,No,15200,4120,199,240,1.0,Urban,Y
Male,No,3+,Graduate,Yes,19508,6124,57,120,0.0,Semiurban,Y
Male,Yes,1,Graduate,No,17206,8475,78,360,0.0,Urban,Y
Female,No,2,Graduate,Yes,3378,4396,345,240,1.0,Rural,Y
Male,Yes,0,Graduate,No,3519,9283,689,480,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,9935,816,389,240,1.0,Rural,Y
Male,Yes,2,Graduate,No,8093,7304,677,180,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,7355,7331,488,240,1.0,Rural,Y
Male,Yes,0,Graduate,No,11083,82,193,120,0.0,Semiurban,Y
Male,No,1,Graduate,No,7574,1920,568,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,15324,7817,94,360,0.0,Semiurban,Y
Male,Yes,1,Graduate,No,4257,2093,288,120,0.0,Semiurban,N
Male,Yes,2,Not Graduate,Yes,15411,7071,204,180,1.0,Rural,Y
Male,Yes,1,Graduate,No,17233,7967,230,120,1.0,Rural,Y
Female,Yes,0,Graduate,No,17887,8367,264,240,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,4005,5285,137,120,1.0,Semiurban,Y
Male,No,3+,Graduate,No,12860,4937,305,120,1.0,Rural,Y
Female,Yes,0,Graduate,No,12070,369,560,180,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,11388,1818,122,240,0.0,Semiurban,Y
Female,Yes,3+,Graduate,Yes,16609,2101,228,480,0.0,Semiurban,Y
Male,No,3+,Graduate,No,18363,3490,261,480,1.0,Urban,Y
Female,No,1,Graduate,No,18923,1779,283,360,1.0,Semiurban,Y
Male,No,2,Graduate,Yes,16823,7674,514,120,1.0,Urban,Y
Female,Yes,3+,Graduate,No,19845,1364,272,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,Yes,10547,7294,680,180,1.0,Rural,Y
Female,Yes,2,Graduate,No,13515,3676,313,480,0.0,Urban,Y
Male,Yes,3+,Graduate,No,2234,2426,256,120,1.0,Urban,Y
Male,Yes,3+,Not Graduate,No,16562,8264,656,180,1.0,Semiurban,Y
Female,Yes,1,Not Graduate,No,19932,8089,415,180,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,9480,2962,325,120,1.0,Urban,Y
Male,Yes,0,Graduate,No,6213,859,429,180,1.0,Rural,Y
Male,No,0,Graduate,Yes,12293,4138,358,120,1.0,Rural,Y
Male,Yes,0,Graduate,No,3673,2424,680,120,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,4100,9256,317,240,1.0,Rural,Y
Male,No,2,Graduate,No,13849,4017,113,360,1.0,Rural,Y
Female,Yes,2,Not Graduate,No,5841,8560,399,180,1.0,Semiurban,Y
Male,No,1,Graduate,No,12197,8342,543,180,1.0,Rural,Y
Male,Yes,1,Graduate,No,10016,1134,572,240,0.0,Semiurban,N
Female,Yes,3+,Graduate,Yes,9011,5166,147,240,1.0,Urban,Y
Female,No,2,Graduate,No,6493,5119,120,240,1.0,Semiurban,Y
Male,No,2,Not Graduate,No,19058,5694,413,480,1.0,Urban,Y
Male,No,0,Not Graduate,Yes,10578,6136,619,480,1.0,Urban,Y
Male,Yes,3+,Not Graduate,No,4158,5485,325,480,1.0,Rural,Y
Male,Yes,3+,Graduate,No,4064,4164,99,120,1.0,Rural,Y
Male,Yes,0,Graduate,No,5253,2346,407,180,1.0,Rural,Y
Male,Yes,3+,Graduate,No,14828,5039,613,360,1.0,Semiurban,Y
Male,No,3+,Graduate,Yes,3401,4897,534,120,0.0,Rural,N
Male,Yes,1,Graduate,No,17193,8252,133,180,1.0,Urban,Y
Female,No,2,Not Graduate,No,14096,5041,687,180,0.0,Rural,N
Female,Yes,3+,Graduate,Yes,6214,3901,633,240,1.0,Rural,Y
